000,,010,,020,,030,,040,,050,,060,,070,,080,,090,,100,,110,,120,,130,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1,1,1.1301412146190497,1.0042110293322233,1.2532008917223774,1,1.4162939779328039,1.0042110293322233,1.6107730902882182,1,1.8204010567340072,1.0255336657027343,2.08791282087993,1.0042110293322233,2.3646188953993077,1.0084397914324825,2.6667222696365975,1.0042110293322233,3.02651383503638,1.0084397914324825,3.4059887904604818,1.0126863609739858,3.8088644854962554,1.0084397914324825,4.22360702178496,1.0084397914324825,4.663793605470387,1.0084397914324825
1.3520713824403536,1.8391752277378297,1.4835671089408735,1.7560959939264114,1.5474934576359147,1.5546177801910563,1.914930556685554,1.8940786876687683,1.959881995067177,1.5222945608461007,2.567369189126486,2.0950659779282574,2.913756133891029,2.086280589172006,2.9384447264451503,1.6488207633964378,3.377371927691275,1.741398949987769,3.8169072125812993,1.7709170778505683,4.100703468151018,1.621337770135202,4.999999999999999,2.1576083443309075,4.999999999999999,1.7123728383144479,4.978950880663239,1.2976249619095797
1.719621573097098,2.9819242626283553,2.0573102613511725,3.4254779655081196,2.1641419452437454,3.070941315925491,2.6443166688173823,3.694629924552852,2.4926608189570025,2.5205605251475034,3.3845035231530045,3.74150133344102,3.9147549121499927,4.052477912963315,3.698029604750231,2.7997664456281863,4.31364415331484,3.0968594201332964,4.999999999999999,3.439902753697757,4.9894643403191274,2.7415544104322658,,,,,,
2.1459589866757125,4.694563307185392,2.8230071741420657,6.570435502926101,3.0975587873934223,6.433824671209728,3.5006788503387134,6.5981037995544005,3.2242232209120067,4.334314770123815,4.241462833252873,6.015468132512002,5.010557906583011,6.881276567012782,4.9894643403191274,5.5772442601622645,4.9894643403191274,4.3708954827863895,,,,,,,,,,
2.6554958385782825,7.11654022843014,3.972987023509261,13.254610749147464,4.0405994155589235,10.970907798914574,4.442929823364454,10.742803461169249,3.8249669225385903,6.247328071391472,4.9894643403191274,8.490208601755151,,,,,,,,,,,,,,,,
3.150273119932352,10.086554189021873,5.010557906583011,21.22098397312658,4.9894643403191274,16.841905832152747,4.9894643403191274,13.707772052161335,4.5185397136784475,8.780479969632056,,,,,,,,,,,,,,,,,,
4.10936243697929,17.055568329029324,,,,,,,4.9894643403191274,10.833470481781667,,,,,,,,,,,,,,,,,,
4.978950880663239,24.999999999999993,,,,,,,,,,,,,,,,,,,,,,,,,,
